A;;;AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA
;;1543;Elaboración de cacao y chocolate y de productos de confitería
;;;Esta clase abarca la elaboración de cacao en forma de pasta, polvo y bloques. Elaboración de manteca, grasa y aceite de cacao.
;;;Elaboración de chocolate de confitería, tales como dulces no envasados, caramelos, pastillas, turrón, confites blandos, frutas confitadas, nueces azucaradas, gelatinas.
;;;Excluye: La producción de sacarosa sólida y líquida se incluye en la clase 1410 (Elaboración de azúcar).
;;1544;Descascarado y tostado de café
;;;En esta clase se incluye el proceso y tratamiento del café cereza mediante el despulpado, secado, tostado, la molienda, el descafeinado y el envase de café.  Incluye la torrefacción de café y la molida de café tostado. Elaboración de extractos, esencias de concentrados de café y preparados a base de dicho producto.
;;1549;Elaboración de otros productos alimenticios n.c.p.
;;;Esta clase incluye la producción de huevos enteros en estado líquido, en polvo o congelado, claras de huevo, yemas de huevo, huevos reconstituidos y huevos en conserva.
;;;Producción de alimentos para lactantes y para inválidos con ingredientes homogeneizados,  incluso extractos de carne, pescado, frutas, hortalizas, leche y malta.
;;;Elaboración de miel artificial, caramelo e inulina.
;;;Elaboración de sopas en estado líquido, sólidos y en polvo, incluso sopas congeladas y en tabletas. Elaboración de sopas que contienen carne, pescado, crustáceos, moluscos o pasta.
;;;Elaboración de especias,  salsas, y condimentos.
;;;Elaboración de vinagre, levadura y otros productos alimenticios no clasificados en otra `parte, incluso extracto y jugos de carne, pescado, crustáceos y moluscos. También incluye la refinación de la sal comestible.
;;;Excluye: El cultivo de especias se incluye en la clase 0218 (Otros cultivos n.c.p.)
;17;;ELABORACIÓN  DE BEBIDAS
;;1701;Producción de alcohol  elaboración de bebidas alcohólicas
;;;En esta clase se incluye la elaboración de bebidas alcohólicas destiladas, tales como ron, whisky, coñac, ginebra, aguardiente, cremas, cordiales, licores y otras bebidas alcohólicas que contienen alcohol etílico destilado.
;;;Elaboración de preparados alcohólicos compuestos del tipo utilizado para confeccionar bebidas.
;;;Producción de alcohol etílico utilizando métodos basados en la fermentación de sustancias vegetales y la destilación de los licores resultantes.
;;;Producción de aguardientes neutros.
;;;Incluye además el alcohol etílico y otros alcoholes desnaturalizados, de cualquier concentración alcohólica.
;;;Excluye: La elaboración de vinos de frutas y vermut, incluso reforzados como los de jerez, se incluye en  la clase 1702 (Elaboración de vinos), se incluye además en esta clase otras bebidas alcohólicas fermentadas pero no destiladas como la sidra, perada y aguamiel.
;;;La elaboración de bebidas malteadas se incluye  en la clase 1703 (Elaboración de bebidas malteadas y maltas)
;;;El embotellado y etiquetado de bebidas alcohólicas destiladas se incluye en la clase 5122 (Venta mayorista de bebidas y tabaco), si se realizan como parte de la compra y venta al por mayor, y en la clase 7290 (Actividades  empresariales n.c.p.), si se realizan a cambio de una retribución o por contrata.
;;1702;Elaboración de vinos
;;;Esta clase abarca la elaboración de vinos de frutas y de vermut, incluso vinos espumosos y aderezados. Se incluye la elaboración de vinos reforzados como el jerez.
;;;Elaboración de otras bebidas fermentadas pero no destiladas, como el sakí, la sidra, perada y aguamiel.
;;;Excluye: La elaboración de bebidas malteadas se incluye en la clase 1703 (Elaboración de bebidas malteadas y de malta).
;;;El embotellado y etiquetado de vinos se incluye en la clase 5122 (Venta mayorista de bebidas y tabaco), si se realizan como parte de la compra y venta al por mayor, y en la clase 7290 (Actividades empresariales n.c.p.), si se realizan a cambio de una retribución o por contrata.
;;1703;Elaboración de bebidas malteadas y de malta
;;;En esta clase se incluye la elaboración de bebidas malteadas, como las cervezas corrientes, pálida, negra y fuerte.
;;;Elaboración de malta.
;;;Excluye: La elaboración de levaduras se incluye en la clase 1549 (Elaboración de otros productos alimenticios n.c.p.),
;;;El embotellado y etiquetado de bebidas malteadas se incluye en la clase  5122 (Venta mayorista de bebidas y tabaco), si se realizan como parte de la compra y venta al por mayor, y en la clase 7290 (Actividades empresariales n.c.p.), si se realizan a cambio de una retribución o por contrata.
;;1704;Elaboración  de  bebidas  no  alcohólicas    producción  de  aguas minerales
;;;Esta clase abarca la fabricación de bebidas no alcohólicas, tales como bebidas refrescantes. Elaboración de bebidas aderezadas con jugos de frutas, jarabes y otras sustancias. Embotellado en la fuente, de aguas minerales y de manantial.  Incluye además la producción de hielo.
;;;Excluye: El embotellado y etiquetado de agua ordinaria (agua de grifo) se incluye en la clase 5122 (Venta mayorista de bebidas y tabaco), si se realizan como parte de la compra y venta al por mayor, y en la clase 7290 (Actividades empresariales n.c.p.), si se realizan a cambio de una retribución o por contrata.
;18;;ELABORACIÓN DE PRODUCTOS DE TABACO
;;1800;Elaboración de productos de tabaco
;;;En esta clase se incluye la elaboración de productos de tabaco, tales como cigarros, tabaco torcido, picaduras, tabaco para mascar y rapé.
;;;Excluye: El cultivo de tabaco y la elaboración preliminar de las hojas de tabaco se incluyen en la clase 0215 (Cultivo de tabaco).
;19;;FABRICACIÓN DE PRODUCTOS TEXTILES
;;1911;Preparación y elaboración  de hilazas  tejidos planos
;;;En esta clase se incluyen las operaciones de preparación de fibras textiles, tales como limpieza, cardado y peinado de las fibras de kenaf, yute, coco y otras fibras vegetales o animales, así como de todos los tipos de fibras textiles manufacturadas.
;;;Cuando es resultado de un proceso de fabricación integrado, en esta clase se incluye la producción de fibras a partir de hilachas. Fabricación  de hilados e hilos para tejedura y costura, para venta al por menor y al por mayor, y para procesamiento ulterior. Estos hilados e hilos pueden estar constituidos por distintos tipos de material  textil incluso mezclas. También se incluye la fabricación de hilados de papel.
;;;Tejedura, fabricación de tejidos anchos de todos los materiales mencionados anteriormente, incluso sus mezclas. También se incluyen los tejidos de fibra de vidrio y la fabricación de fibras especiales, como tejidos aterciopelados y de felpilla, tejidos de rizo para toallas, gasa, etc.
;;;Cuando forman parte de los procesos antes mencionados, se incluyen las operaciones de acabado, tales como blanqueo, teñido, calandrado, perchado, encogimiento y estampado.
;;;Excluye: Las operaciones de preparación realizadas en combinación con actividades agrícolas o ganaderas se incluyen en la clase apropiada de la Sección A (Agricultura, ganadería, caza y silvicultura) según la actividad principal. Enriamiento de plantas que dan fibras textiles, como el yute, kenaf, henequén, etc., se incluye en la clase 0218 (Otros cultivos n.c.p.)
;;;El acabado de productos textiles de esta clase  por unidades que no fabrican ese tipo de productos se incluye en la clase 1912 (Acabado de productos textiles).
;;;La fabricación de productos textiles para cubrimiento de pisos como tapices y alfombras se incluyen en la clase 1921 (Fabricación de artículos textiles).
;;;La fabricación de tejidos de punto y ganchillo se incluye en la clase 1929 (Fabricación de tejidos y artículos de punto y ganchillo).
;;;La fabricación de tejidos estrechos y de tejidos especiales se incluye en la clase 1930 (Fabricación de otros productos textiles n.c.p.
;;;La fabricación de fibras de vidrio se incluye en la clase 3010 (Fabricación de vidrio y de productos de vidrio).
;;;La hilatura de hilados de asbesto se incluye en la clase 3099 (Fabricación de otros productos minerales no metálicos n.c.p.)
;;1912;Acabado de productos textiles 
;;;En esta clase se incluye el acabado, mediante procesos tales como blanqueo, teñido, calandrado, perchado, encogimiento y estampado, de textiles de la clase 1911 (Preparación y elaboración de hilazas, tejidos planos) no producidos en la misma unidad. No se distingue entre las actividades de este  tipo realizadas por contrata o a cambio de una retribución, o mediante la compra de los materiales y la venta ulterior de los productos acabados.
;;;Excluye:   El acabado de textiles producidos en la misma unidad se incluye en la clase 1911 (Preparación y elaboración de hilazas  tejidos planos),  la clase 1929 (Fabricación de tejidos y artículos de punto y ganchillo) y la clase 1930 (Fabricación de otros productos textiles n.c.p.), según corresponda.
;;1921;Fabricación de productos textiles
;;;En esta clase se incluye la fabricación con tejidos no producidos en la misma unidad, de artículos confeccionados con cualquier tipo de material textil, incluso tejidos de punto y ganchillo. Se incluye la fabricación de artículos tales como:
;;;- Frazadas, toda clase de ropa de cama, paños de mesa y otros tipos de ropa blanca.
;;;- Accesorios para el hogar como cortinas, cenefas, sobrecamas, etc.
;;;- Algunos artículos con relleno, como colchonetas, almohadas, cojines, etc.
;;;- Encerados, tiendas de campaña, artículos para acampar, velas, toldos de protección contra el sol y otros.
;;;- Banderas, gallardetes y estandartes, etc.
;;;- Bayetas, paños de cocina, chalecos salvavidas, etc.
;;;- Paracaídas
;;;- Tapices tejidos a mano
;;;- Tejidos para mantas eléctricas
;;;También en esta clase se incluye la fabricación de productos textiles, en piezas o a la medida, tales como:
;;;- Tapices, alfombras y esteras  producidos mediante el tejido, afelpado, trenzado, etc. de hilados   de  lana, algodón, fibras manufacturadas, yute, fibra de coco y fibras similares.
